TEFF   4300.  GRAVITY 1.50000 LTE 
TITLE ATLAS12 ARCTURUS GRID WITH DEPTH DEPENDENT VTURB                          
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -11.38  4 -11.39  5  -9.94  6  -3.98  7  -4.19  8  -3.21
 ABUNDANCE CHANGE  9  -7.98 10  -4.05 11  -5.91 12  -4.56 13  -5.77 14  -4.59
 ABUNDANCE CHANGE 15  -7.09 16  -5.33 17  -7.04 18  -5.58 19  -7.32 20  -5.88
 ABUNDANCE CHANGE 21  -9.24 22  -7.25 23  -8.54 24  -6.87 25  -7.15 26  -4.87
 ABUNDANCE CHANGE 27  -7.62 28  -6.29 29  -8.33 30  -7.94 31  -9.66 32  -9.13
 ABUNDANCE CHANGE 33 -10.17 34  -9.19 35  -9.91 36  -9.31 37  -9.94 38  -9.64
 ABUNDANCE CHANGE 39 -10.30 40 -10.04 41 -11.12 42 -10.62 43 -20.50 44 -10.70
 ABUNDANCE CHANGE 45 -11.42 46 -10.85 47 -11.60 48 -10.68 49 -11.08 50 -10.54
 ABUNDANCE CHANGE 51 -11.54 52 -10.30 53 -11.03 54 -10.31 55 -11.42 56 -10.41
 ABUNDANCE CHANGE 57 -11.32 58 -10.99 59 -11.83 60 -11.04 61 -20.50 62 -11.54
 ABUNDANCE CHANGE 63 -12.03 64 -11.42 65 -12.44 66 -11.44 67 -12.28 68 -11.61
 ABUNDANCE CHANGE 69 -12.54 70 -11.46 71 -11.78 72 -11.66 73 -12.41 74 -11.43
 ABUNDANCE CHANGE 75 -12.27 76 -11.09 77 -11.19 78 -10.74 79 -11.53 80 -11.45
 ABUNDANCE CHANGE 81 -11.64 82 -10.69 83 -11.83 84 -20.50 85 -20.50 86 -20.50
 ABUNDANCE CHANGE 87 -20.50 88 -20.50 89 -20.50 90 -12.42 91 -20.50 92 -13.01
 ABUNDANCE CHANGE 93 -20.50 94 -20.50 95 -20.50 96 -20.50 97 -20.50 98 -20.50
 ABUNDANCE CHANGE 99 -20.50
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.35636127E-02   2463.6 4.289E-01 6.712E+06 9.832E-06 2.602E-03 9.781E+04 0.000E+00 0.000E+00
 1.79741105E-02   2491.2 5.683E-01 9.045E+06 1.034E-05 2.386E-03 9.781E+04 0.000E+00 0.000E+00
 2.35605825E-02   2518.3 7.450E-01 1.207E+07 1.090E-05 2.181E-03 9.781E+04 0.000E+00 0.000E+00
 3.06129167E-02   2545.5 9.680E-01 1.600E+07 1.153E-05 1.992E-03 9.781E+04 0.000E+00 0.000E+00
 3.94734678E-02   2573.0 1.248E+00 2.111E+07 1.226E-05 1.822E-03 9.781E+04 0.000E+00 0.000E+00
 5.05593797E-02   2600.7 1.599E+00 2.770E+07 1.310E-05 1.672E-03 9.781E+04 0.000E+00 0.000E+00
 6.43623560E-02   2628.5 2.035E+00 3.620E+07 1.406E-05 1.540E-03 9.781E+04 0.000E+00 0.000E+00
